experiment,kind,setting,seed,stage1_end,plateau_end,plateau_length,plateau_detected,plateau_exit_detected,plateau_exit_reason,stability_crossing,stability_to_plateau_gap
generalization_gru,generalization,gru,0,71,700,629,True,False,fallback,,
generalization_gru,generalization,gru,1,74,700,626,True,False,fallback,,
generalization_gru,generalization,gru,2,70,700,630,True,False,fallback,,
generalization_gru,generalization,gru,3,74,700,626,True,False,fallback,,
generalization_gru,generalization,gru,4,70,700,630,True,False,fallback,,
generalization_gru,generalization,gru,5,74,700,626,True,False,fallback,,
generalization_gru,generalization,gru,6,84,700,616,True,False,fallback,,
generalization_gru,generalization,gru,7,75,700,625,True,False,fallback,,
generalization_gru,generalization,gru,8,67,700,633,True,False,fallback,,
generalization_gru,generalization,gru,9,78,700,622,True,False,fallback,,
generalization_low_rank,generalization,low_rank,0,96,700,604,True,False,fallback,96.0,604.0
generalization_low_rank,generalization,low_rank,1,75,700,625,True,False,fallback,75.0,625.0
generalization_low_rank,generalization,low_rank,2,86,700,614,True,False,fallback,86.0,614.0
generalization_low_rank,generalization,low_rank,3,11,100,89,True,True,slope,107.0,-7.0
generalization_low_rank,generalization,low_rank,4,18,59,41,True,True,slope,79.0,-20.0
generalization_low_rank,generalization,low_rank,5,119,700,581,True,False,fallback,119.0,581.0
generalization_low_rank,generalization,low_rank,6,71,700,629,True,False,fallback,71.0,629.0
generalization_low_rank,generalization,low_rank,7,102,700,598,True,False,fallback,102.0,598.0
generalization_low_rank,generalization,low_rank,8,15,46,31,True,True,slope,74.0,-28.0
generalization_low_rank,generalization,low_rank,9,86,700,614,True,False,fallback,86.0,614.0
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,0,10,28,18,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,1,6,34,28,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,2,1,34,33,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,3,7,41,34,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,4,1,21,20,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,5,13,32,19,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,6,1,37,36,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,7,6,44,38,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,8,13,29,16,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,9,1,41,40,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,10,7,24,17,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,11,1,27,26,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,12,8,27,19,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,13,9,33,24,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,14,8,47,39,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,15,1,30,29,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,16,1,49,48,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,17,1,21,20,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,18,6,37,31,True,True,slope,,
generalization_ring_partial_obs_gru,generalization,ring_partial_obs_gru,19,8,24,16,True,True,slope,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,0,20,700,680,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,1,9,700,691,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,2,10,700,690,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,3,16,700,684,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,4,9,700,691,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,5,1,390,389,True,True,slope,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,6,1,700,699,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,7,1,700,699,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,8,1,700,699,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,9,1,700,699,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,10,1,700,699,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,11,1,700,699,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,12,1,700,699,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,13,12,700,688,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,14,24,700,676,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,15,7,700,693,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,16,1,700,699,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,17,15,700,685,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,18,3,700,697,True,False,fallback,,
generalization_ring_partial_obs_tanh,generalization,ring_partial_obs_tanh,19,1,420,419,True,True,slope,,
generalization_ring_path_integration,generalization,ring_path_integration,0,42,53,11,True,True,slope,,
generalization_ring_path_integration,generalization,ring_path_integration,1,21,98,77,True,True,slope,,
generalization_ring_path_integration,generalization,ring_path_integration,2,44,700,656,True,False,fallback,,
generalization_ring_path_integration,generalization,ring_path_integration,3,29,700,671,True,False,fallback,,
generalization_ring_path_integration,generalization,ring_path_integration,4,38,700,662,True,False,fallback,,
generalization_ring_path_integration,generalization,ring_path_integration,5,32,388,356,True,True,slope,,
generalization_ring_path_integration,generalization,ring_path_integration,6,39,60,21,True,True,slope,,
generalization_ring_path_integration,generalization,ring_path_integration,7,47,700,653,True,False,fallback,,
generalization_ring_path_integration,generalization,ring_path_integration,8,42,882,840,True,True,slope,,
generalization_ring_path_integration,generalization,ring_path_integration,9,29,54,25,True,True,slope,,
generalization_tanh_rnn,generalization,tanh_rnn,0,56,700,644,True,False,fallback,56.0,644.0
generalization_tanh_rnn,generalization,tanh_rnn,1,82,700,618,True,False,fallback,82.0,618.0
generalization_tanh_rnn,generalization,tanh_rnn,2,74,700,626,True,False,fallback,74.0,626.0
generalization_tanh_rnn,generalization,tanh_rnn,3,49,700,651,True,False,fallback,49.0,651.0
generalization_tanh_rnn,generalization,tanh_rnn,4,47,700,653,True,False,fallback,47.0,653.0
generalization_tanh_rnn,generalization,tanh_rnn,5,53,700,647,True,False,fallback,53.0,647.0
generalization_tanh_rnn,generalization,tanh_rnn,6,51,700,649,True,False,fallback,51.0,649.0
generalization_tanh_rnn,generalization,tanh_rnn,7,58,700,642,True,False,fallback,58.0,642.0
generalization_tanh_rnn,generalization,tanh_rnn,8,47,700,653,True,False,fallback,47.0,653.0
generalization_tanh_rnn,generalization,tanh_rnn,9,47,700,653,True,False,fallback,47.0,653.0
generalization_tracking_task,generalization,tracking_task,0,28,309,281,True,True,slope,692.0,-383.0
generalization_tracking_task,generalization,tracking_task,1,9,326,317,True,True,slope,782.0,-456.0
generalization_tracking_task,generalization,tracking_task,2,27,176,149,True,True,slope,,
generalization_tracking_task,generalization,tracking_task,3,24,108,84,True,True,slope,,
generalization_tracking_task,generalization,tracking_task,4,28,415,387,True,True,slope,639.0,-224.0
generalization_tracking_task,generalization,tracking_task,5,10,249,239,True,True,slope,,
generalization_tracking_task,generalization,tracking_task,6,12,584,572,True,True,slope,873.0,-289.0
generalization_tracking_task,generalization,tracking_task,7,14,180,166,True,True,slope,,
generalization_tracking_task,generalization,tracking_task,8,21,134,113,True,True,slope,,
generalization_tracking_task,generalization,tracking_task,9,68,228,160,True,True,slope,,
original_double_integrator_full,original,original,0,56,700,644,True,False,fallback,56.0,644.0
original_double_integrator_full,original,original,1,82,700,618,True,False,fallback,82.0,618.0
original_double_integrator_full,original,original,2,74,700,626,True,False,fallback,74.0,626.0
original_double_integrator_full,original,original,3,49,700,651,True,False,fallback,49.0,651.0
original_double_integrator_full,original,original,4,47,700,653,True,False,fallback,47.0,653.0
original_double_integrator_full,original,original,5,53,700,647,True,False,fallback,53.0,647.0
original_double_integrator_full,original,original,6,51,700,649,True,False,fallback,51.0,649.0
original_double_integrator_full,original,original,7,58,700,642,True,False,fallback,58.0,642.0
original_double_integrator_full,original,original,8,47,700,653,True,False,fallback,47.0,653.0
original_double_integrator_full,original,original,9,47,700,653,True,False,fallback,47.0,653.0
original_double_integrator_full,original,original,10,54,700,646,True,False,fallback,54.0,646.0
original_double_integrator_full,original,original,11,58,700,642,True,False,fallback,58.0,642.0
original_double_integrator_full,original,original,12,59,700,641,True,False,fallback,59.0,641.0
original_double_integrator_full,original,original,13,59,700,641,True,False,fallback,59.0,641.0
original_double_integrator_full,original,original,14,49,700,651,True,False,fallback,49.0,651.0
original_double_integrator_full,original,original,15,53,700,647,True,False,fallback,53.0,647.0
original_double_integrator_full,original,original,16,54,700,646,True,False,fallback,54.0,646.0
original_double_integrator_full,original,original,17,49,700,651,True,False,fallback,49.0,651.0
original_double_integrator_full,original,original,18,50,700,650,True,False,fallback,50.0,650.0
original_double_integrator_full,original,original,19,51,700,649,True,False,fallback,51.0,649.0
original_double_integrator_full,original,original,20,48,700,652,True,False,fallback,48.0,652.0
original_double_integrator_full,original,original,21,62,700,638,True,False,fallback,62.0,638.0
original_double_integrator_full,original,original,22,49,700,651,True,False,fallback,49.0,651.0
original_double_integrator_full,original,original,23,58,700,642,True,False,fallback,58.0,642.0
original_double_integrator_full,original,original,24,51,700,649,True,False,fallback,51.0,649.0
original_double_integrator_full,original,original,25,56,700,644,True,False,fallback,56.0,644.0
original_double_integrator_full,original,original,26,61,700,639,True,False,fallback,61.0,639.0
original_double_integrator_full,original,original,27,54,700,646,True,False,fallback,54.0,646.0
original_double_integrator_full,original,original,28,56,700,644,True,False,fallback,56.0,644.0
original_double_integrator_full,original,original,29,50,700,650,True,False,fallback,50.0,650.0
original_double_integrator_full,original,original,30,64,700,636,True,False,fallback,64.0,636.0
original_double_integrator_full,original,original,31,51,700,649,True,False,fallback,51.0,649.0
original_double_integrator_full,original,original,32,62,700,638,True,False,fallback,62.0,638.0
original_double_integrator_full,original,original,33,62,700,638,True,False,fallback,62.0,638.0
original_double_integrator_full,original,original,34,51,700,649,True,False,fallback,51.0,649.0
original_double_integrator_full,original,original,35,59,700,641,True,False,fallback,59.0,641.0
original_double_integrator_full,original,original,36,83,700,617,True,False,fallback,83.0,617.0
original_double_integrator_full,original,original,37,67,700,633,True,False,fallback,67.0,633.0
original_double_integrator_full,original,original,38,62,700,638,True,False,fallback,62.0,638.0
original_double_integrator_full,original,original,39,45,700,655,True,False,fallback,45.0,655.0
original_double_integrator_full,original,original,40,52,700,648,True,False,fallback,52.0,648.0
original_double_integrator_full,original,original,41,46,700,654,True,False,fallback,46.0,654.0
original_double_integrator_full,original,original,42,55,700,645,True,False,fallback,55.0,645.0
original_double_integrator_full,original,original,43,49,700,651,True,False,fallback,49.0,651.0
original_double_integrator_full,original,original,44,47,700,653,True,False,fallback,47.0,653.0
original_double_integrator_full,original,original,45,58,700,642,True,False,fallback,58.0,642.0
original_double_integrator_full,original,original,46,52,700,648,True,False,fallback,52.0,648.0
original_double_integrator_full,original,original,47,69,700,631,True,False,fallback,69.0,631.0
original_double_integrator_full,original,original,48,48,700,652,True,False,fallback,48.0,652.0
original_double_integrator_full,original,original,49,64,700,636,True,False,fallback,64.0,636.0
robustness_adam,robustness,adam,0,47,700,653,True,False,fallback,47.0,653.0
robustness_adam,robustness,adam,1,58,700,642,True,False,fallback,58.0,642.0
robustness_adam,robustness,adam,2,57,700,643,True,False,fallback,57.0,643.0
robustness_adam,robustness,adam,3,44,700,656,True,False,fallback,44.0,656.0
robustness_adam,robustness,adam,4,44,700,656,True,False,fallback,44.0,656.0
robustness_adam,robustness,adam,5,44,700,656,True,False,fallback,44.0,656.0
robustness_adam,robustness,adam,6,46,700,654,True,False,fallback,46.0,654.0
robustness_adam,robustness,adam,7,44,700,656,True,False,fallback,44.0,656.0
robustness_adam,robustness,adam,8,43,700,657,True,False,fallback,43.0,657.0
robustness_adam,robustness,adam,9,46,700,654,True,False,fallback,46.0,654.0
robustness_adam,robustness,adam,10,49,700,651,True,False,fallback,49.0,651.0
robustness_adam,robustness,adam,11,55,700,645,True,False,fallback,55.0,645.0
robustness_adam,robustness,adam,12,53,700,647,True,False,fallback,53.0,647.0
robustness_adam,robustness,adam,13,42,700,658,True,False,fallback,42.0,658.0
robustness_adam,robustness,adam,14,47,700,653,True,False,fallback,47.0,653.0
robustness_episode_long,robustness,episode_long,0,57,700,643,True,False,fallback,57.0,643.0
robustness_episode_long,robustness,episode_long,1,75,700,625,True,False,fallback,75.0,625.0
robustness_episode_long,robustness,episode_long,2,73,700,627,True,False,fallback,73.0,627.0
robustness_episode_long,robustness,episode_long,3,48,700,652,True,False,fallback,48.0,652.0
robustness_episode_long,robustness,episode_long,4,49,700,651,True,False,fallback,49.0,651.0
robustness_episode_long,robustness,episode_long,5,56,700,644,True,False,fallback,56.0,644.0
robustness_episode_long,robustness,episode_long,6,50,700,650,True,False,fallback,50.0,650.0
robustness_episode_long,robustness,episode_long,7,54,700,646,True,False,fallback,54.0,646.0
robustness_episode_long,robustness,episode_long,8,49,700,651,True,False,fallback,49.0,651.0
robustness_episode_long,robustness,episode_long,9,50,700,650,True,False,fallback,50.0,650.0
robustness_episode_long,robustness,episode_long,10,53,700,647,True,False,fallback,53.0,647.0
robustness_episode_long,robustness,episode_long,11,59,700,641,True,False,fallback,59.0,641.0
robustness_episode_long,robustness,episode_long,12,58,700,642,True,False,fallback,58.0,642.0
robustness_episode_long,robustness,episode_long,13,59,700,641,True,False,fallback,59.0,641.0
robustness_episode_long,robustness,episode_long,14,47,700,653,True,False,fallback,47.0,653.0
robustness_episode_short,robustness,episode_short,0,57,700,643,True,False,fallback,57.0,643.0
robustness_episode_short,robustness,episode_short,1,88,700,612,True,False,fallback,88.0,612.0
robustness_episode_short,robustness,episode_short,2,79,700,621,True,False,fallback,79.0,621.0
robustness_episode_short,robustness,episode_short,3,48,700,652,True,False,fallback,48.0,652.0
robustness_episode_short,robustness,episode_short,4,44,700,656,True,False,fallback,44.0,656.0
robustness_episode_short,robustness,episode_short,5,55,700,645,True,False,fallback,55.0,645.0
robustness_episode_short,robustness,episode_short,6,48,700,652,True,False,fallback,48.0,652.0
robustness_episode_short,robustness,episode_short,7,63,700,637,True,False,fallback,63.0,637.0
robustness_episode_short,robustness,episode_short,8,44,700,656,True,False,fallback,44.0,656.0
robustness_episode_short,robustness,episode_short,9,46,700,654,True,False,fallback,46.0,654.0
robustness_episode_short,robustness,episode_short,10,52,700,648,True,False,fallback,52.0,648.0
robustness_episode_short,robustness,episode_short,11,54,700,646,True,False,fallback,54.0,646.0
robustness_episode_short,robustness,episode_short,12,59,700,641,True,False,fallback,59.0,641.0
robustness_episode_short,robustness,episode_short,13,57,700,643,True,False,fallback,57.0,643.0
robustness_episode_short,robustness,episode_short,14,47,700,653,True,False,fallback,47.0,653.0
robustness_feedback_high,robustness,feedback_high,0,50,700,650,True,False,fallback,50.0,650.0
robustness_feedback_high,robustness,feedback_high,1,70,700,630,True,False,fallback,70.0,630.0
robustness_feedback_high,robustness,feedback_high,2,63,700,637,True,False,fallback,63.0,637.0
robustness_feedback_high,robustness,feedback_high,3,44,700,656,True,False,fallback,44.0,656.0
robustness_feedback_high,robustness,feedback_high,4,42,700,658,True,False,fallback,42.0,658.0
robustness_feedback_high,robustness,feedback_high,5,54,700,646,True,False,fallback,54.0,646.0
robustness_feedback_high,robustness,feedback_high,6,45,700,655,True,False,fallback,45.0,655.0
robustness_feedback_high,robustness,feedback_high,7,52,700,648,True,False,fallback,52.0,648.0
robustness_feedback_high,robustness,feedback_high,8,44,700,656,True,False,fallback,44.0,656.0
robustness_feedback_high,robustness,feedback_high,9,47,700,653,True,False,fallback,47.0,653.0
robustness_feedback_high,robustness,feedback_high,10,46,700,654,True,False,fallback,46.0,654.0
robustness_feedback_high,robustness,feedback_high,11,51,700,649,True,False,fallback,51.0,649.0
robustness_feedback_high,robustness,feedback_high,12,53,700,647,True,False,fallback,53.0,647.0
robustness_feedback_high,robustness,feedback_high,13,57,700,643,True,False,fallback,57.0,643.0
robustness_feedback_high,robustness,feedback_high,14,43,700,657,True,False,fallback,43.0,657.0
robustness_feedback_low,robustness,feedback_low,0,82,700,618,True,False,fallback,82.0,618.0
robustness_feedback_low,robustness,feedback_low,1,104,700,596,True,False,fallback,104.0,596.0
robustness_feedback_low,robustness,feedback_low,2,93,700,607,True,False,fallback,93.0,607.0
robustness_feedback_low,robustness,feedback_low,3,66,700,634,True,False,fallback,66.0,634.0
robustness_feedback_low,robustness,feedback_low,4,62,700,638,True,False,fallback,62.0,638.0
robustness_feedback_low,robustness,feedback_low,5,79,700,621,True,False,fallback,79.0,621.0
robustness_feedback_low,robustness,feedback_low,6,67,700,633,True,False,fallback,67.0,633.0
robustness_feedback_low,robustness,feedback_low,7,87,700,613,True,False,fallback,87.0,613.0
robustness_feedback_low,robustness,feedback_low,8,62,700,638,True,False,fallback,62.0,638.0
robustness_feedback_low,robustness,feedback_low,9,68,700,632,True,False,fallback,68.0,632.0
robustness_feedback_low,robustness,feedback_low,10,76,700,624,True,False,fallback,76.0,624.0
robustness_feedback_low,robustness,feedback_low,11,80,700,620,True,False,fallback,80.0,620.0
robustness_feedback_low,robustness,feedback_low,12,82,700,618,True,False,fallback,82.0,618.0
robustness_feedback_low,robustness,feedback_low,13,78,700,622,True,False,fallback,78.0,622.0
robustness_feedback_low,robustness,feedback_low,14,66,700,634,True,False,fallback,66.0,634.0
robustness_high_control_penalty,robustness,high_control_penalty,0,56,700,644,True,False,fallback,56.0,644.0
robustness_high_control_penalty,robustness,high_control_penalty,1,82,700,618,True,False,fallback,82.0,618.0
robustness_high_control_penalty,robustness,high_control_penalty,2,74,700,626,True,False,fallback,74.0,626.0
robustness_high_control_penalty,robustness,high_control_penalty,3,49,700,651,True,False,fallback,49.0,651.0
robustness_high_control_penalty,robustness,high_control_penalty,4,47,700,653,True,False,fallback,47.0,653.0
robustness_high_control_penalty,robustness,high_control_penalty,5,53,700,647,True,False,fallback,53.0,647.0
robustness_high_control_penalty,robustness,high_control_penalty,6,51,700,649,True,False,fallback,51.0,649.0
robustness_high_control_penalty,robustness,high_control_penalty,7,58,700,642,True,False,fallback,58.0,642.0
robustness_high_control_penalty,robustness,high_control_penalty,8,47,700,653,True,False,fallback,47.0,653.0
robustness_high_control_penalty,robustness,high_control_penalty,9,47,700,653,True,False,fallback,47.0,653.0
robustness_high_control_penalty,robustness,high_control_penalty,10,54,700,646,True,False,fallback,54.0,646.0
